indi,spp,name,site,date,month,ce,amba,vcmax,jmax,mgcl2.min,mgcl2.hr,edta.min,edta.hr,nr.hr.chl,protein.ug.mL,protein.ug.gfw,wt.g,area.mm2,area.cm2,SLA,LMA,sample,spp,site,month,totC,C13,totN
pa23,pa,Phalaris,2,288,10,0.136415675,20.44813688,93.931,205.326,2.102823077,126.1693846,0.82119832,49.27189919,319.8576582,32.84444444,350.9021842,0.3436,3452.792754,34.52792754,100.4887297,0.009951365,Pa23,Pa,82a2,10,46.75217629,-29.31493811,4.512546674
pa24,pa,Phalaris,2,288,10,0.072536,17.21321954,79.206,178.963,2.379731363,142.7838818,3.814009798,228.8405879,360.5864936,105.0833333,792.4836601,0.3746,3191.092661,31.91092661,85.18667008,0.011738926,Pa24,Pa,82a2,10,46.27963519,-30.10053182,5.671021949
pa25,,,,,,,,,,,,9.924233968,595.4540381,,98.04444444,1202.999318,0.3772,4959.158734,49.59158734,131.4729251,0.007606129,Pa25,Pa,82a2,10,47.31820311,-30.65639507,3.762865293
pa26,,,,,,,,,,0.470520353,28.23122118,1.501432723,90.08596339,272.5460666,79.15555556,1066.786463,0.4596,6794.687699,67.94687699,147.8391579,0.006764108,Pa26,Pa,82a2,10,47.52930238,-27.46807876,3.43328854
Cs11,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,50.0706117,-27.37293992,1.764739897
Cs12,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,68.52970342,-24.85802783,2.228748245
Cs13,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,54.68077133,-25.74568405,0.631054116
Cs14,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,52.14770473,-25.75437251,1.791705648
Cs15,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,54.08550884,-25.55527719,3.204510115
Cs16,Cs,,1,,10,,,,,,,,,,,,,,,,,,,,,49.66045058,-27.05429383,2.187348228
Cs21,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,51.22915327,-26.46862959,2.741131418
Cs22,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,52.75323988,-26.18127839,1.767522248
Cs23,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,52.37447213,-26.34845397,2.247957863
Cs24,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,52.87812897,-26.66921541,1.956710776
Cs25,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,52.22471841,-27.97163122,1.815579138
Cs26,Cs,,2,,10,,,,,,,,,,,,,,,,,,,,,50.52864736,-26.87847885,3.144620893
