sample,rep,place,spp,site,month,year,totC,C13,totN,weight_pr,A595,ml_pr,ug/mL_pr,ug/gfw_pr,area,wet_wt,dry_wt,SLA,LMA,mMol_gfw_no3,mgNO3,mg.gfw_no3
Cs82a6,6,20,Cs,82a,5,2013,51.58910786,-27.34045265,3.836402596,0.0496,0.0662,1.25,33.97333333,684.9462366,7.8,0.0711,0.0285,273.6842105,0.003653846,105.0938891,0.026063284,0.105093889
Pa82a6,6,20,Pa,82a,5,2013,40.00675854,-27.70135769,4.391435525,0.0662,0.1624,1.45,73.51724138,1110.532347,4.79,0.0734,0.0396,120.959596,0.008267223,128.2117323,0.041138529,0.094876682
Cs82a6,6,20,Cs,82a,10,2013,52.20057124,-28.01565534,2.545956573,0.0686,0.1782,1.35,86.7654321,1264.802217,6.5,0.0626,0.0353,184.1359773,0.005430769,170.2428971,0.038700467,0.127682173
Cs82a6,6,20,Cs,82a,10,2013,51.42056259,-28.70520689,3.948644581,0.073,0.1253,1.5,54.57777778,747.6407915,3.38,0.0569,0.0345,97.97101449,0.010207101,107.8989012,0.030761977,0.053949451
Pa82a6,6,20,Pa,82a,10,2013,50.77452962,-28.83828331,3.140683087,0.1386,0.2502,1.5,110.0888889,794.2921276,8.16,0.087,0.045,181.3333333,0.005514706,98.50646453,0.030209963,0.083730495
Cs82a7,7,21,Cs,82a,5,2013,47.26255842,-26.04773711,4.702746336,0.1346,0.0601,1.25,30.72,228.2317979,6.3,0.0479,0.0274,229.9270073,0.004349206,19.26865452,0.002747256,0.00966323
Pa82a7,7,21,Pa,82a,5,2013,47.7039918,-28.15204987,5.578294969,0.1095,0.1072,1.3,53.69230769,490.3407095,8.9,0.0873,0.0398,223.6180905,0.00447191,50.89832391,0.016481895,0.05344324
Cs82a7,7,21,Cs,82a,7,2013,53.15424327,-27.05910784,3.95053263,0.0412,0.1258,1.3,63.23076923,1534.727409,3.11,0.0364,0.0216,143.9814815,0.006945338,100.4513709,0.036893277,0.075338528
Pa82a7,7,21,Pa,82a,7,2013,51.15980673,-27.56485376,4.631913822,0.0742,0.1415,1.5,61.77777778,832.5846062,9.83,0.1191,0.0508,193.503937,0.005167854,166.3255376,0.042446277,0.13306043
Cs82a7,7,21,Cs,82a,10,2013,51.60372189,-27.6109636,2.812102535,0.047,0.132,1.5,57.55555556,1224.586288,4.58,0.0557,0.0393,116.5394402,0.008580786,210.0486321,0.075310837,0.147034042
Pa82a7,7,21,Pa,82a,10,2013,46.37782263,-28.7778432,4.596308909,0.0638,0.1115,1.5,48.44444444,759.317311,5.66,0.0558,0.0239,236.8200837,0.004222615,112.9584602,0.032023723,0.11295846
Ca82a1.5,1.5,22,Ca,82a,5,2013,55.238951,-26.8794184,4.697719778,0.0533,0.1333,1.4,62.28571429,1168.58751,0.99,0.0084,0.0068,145.5882353,0.006868687,76.76214517,0.026569297,0.057571609
Pa82a1.5,1.5,22,Pa,82a,5,2013,54.02041213,-29.02835711,5.75913345,0.1368,0.202,1.2,110.8333333,810.1851852,9.13,0.0857,0.0423,215.8392435,0.004633078,97.16957787,0.024814681,0.072877183
Ca82a1.5,1.5,22,Ca,82a,7,2013,53.97920258,-27.90561914,4.859811838,0.0806,0.139,1.5,60.66666667,752.688172,4.3,0.0756,0.0322,133.5403727,0.007488372,331.3854011,0.123362358,0.248539051
Ca82a1.5,1.5,22,Ca,82a,10,2013,51.73893624,-28.36873718,4.178633699,0.0731,0.1357,1.5,59.2,809.8495212,8.33,0.1957,0.0832,100.1201923,0.009987995,123.3219173,0.042814287,0.092491438
ClMW1,1,9,Cl,MW,12,2013,46.58470037,-27.37896372,2.468702731,,,,,,,,,,#DIV/0!,,,
CsMW1,1,9,Cs,MW,12,2013,49.37202503,-28.12032877,1.481963953,,,,,,,,,,#DIV/0!,,,
PaMW1,1,9,Pa,MW,12,2013,46.82292226,-27.62444218,2.125910468,,,,,,,,,,#DIV/0!,,,
CsMW2,2,10,Cs,MW,12,2013,47.03006508,-27.72073943,2.153917272,,,,,,,,,,#DIV/0!,,,
Cs82a5,5,19,Cs,82a,12,2013,46.49195783,-27.03423643,2.210840554,,,,,,,,,,#DIV/0!,,,
